"idbrrver","barrvere","comcor","total","nac_2000","nac_2001","nac_2002","nac_2003","nac_2004","nac_2005","nac_2006","nac_2007","nac_2008","nac_2009","nac_2010","nac_2011","nac_2012","nac_2013","nac_2014","nac_2015","nac_2016","nac_2017"
"2296","Parcelaciones Pance","Comuna 22","2632","162","150","181","149","174","136","177","148","133","141","122","126","137","111","114","118","83","86"
"1775","Lili","Comuna 17","2212","152","115","108","121","110","106","100","119","126","113","99","118","99","121","120","109","109","87"
"1784","La Hacienda","Comuna 17","1616","110","78","91","93","92","84","80","99","80","95","87","82","78","64","88","62","63","76"
"0298","Senderos de La Flora","Comuna 02","1305","60","68","50","64","60","77","69","83","78","59","73","75","70","90","75","79","62","58"
"1780","El Ingenio","Comuna 17","1202","97","78","62","67","53","71","58","67","57","55","52","55","66","60","52","54","48","56"
"1774","Caney","Comuna 17","1142","82","65","65","56","51","57","67","56","57","64","52","78","60","58","55","53","36","48"
"0295","Urbanización La Flora","Comuna 02","1136","58","63","60","71","64","71","57","67","65","50","54","49","69","59","60","41","59","48"
"2201","Urbanización Ciudad Jardín","Comuna 22","763","53","54","52","44","42","52","51","42","30","42","34","45","40","34","17","26","27","21"
"1782","Las Quintas de Don Simón","Comuna 17","632","47","52","43","50","41","32","33","29","23","29","25","29","37","21","34","22","26","18"
"1781","Mayapan - Las Vegas","Comuna 17","619","51","46","23","36","44","25","38","38","27","26","34","26","18","24","19","24","22","21"
"0211","Prados del Norte","Comuna 02","609","33","41","43","33","41","43","30","28","29","25","27","28","32","30","27","30","25","17"
"1783","Ciudad Capri","Comuna 17","608","44","45","32","36","34","34","32","27","28","38","19","33","37","30","26","26","24","21"
"1921","Nueva Tequendama","Comuna 19","536","33","44","37","33","28","22","30","30","27","24","30","17","26","30","19","25","17","15"
"1995","Sector Cañaveralejo Guadalupe","Comuna 19","510","29","32","40","37","32","34","28","24","29","25","35","23","25","21","21","16","13","14"
"0203","Arboledas","Comuna 02","490","34","24","21","21","23","15","29","22","31","21","25","28","29","35","20","32","35","25"
"1908","Santa Isabel","Comuna 19","488","20","21","22","21","23","22","31","26","31","28","32","27","30","25","35","28","24","25"
"2297","Urbanización Rio Lili","Comuna 22","467","36","25","29","16","28","18","27","21","28","21","26","14","23","19","24","29","21","24"
"0204","Normandia","Comuna 02","462","26","26","23","18","24","26","31","27","23","26","28","21","21","24","15","32","17","25"
"1778","Santa Anita - La Selva","Comuna 17","461","35","26","18","28","24","30","21","24","24","29","26","22","21","23","16","24","19","19"
"0212","La Flora","Comuna 02","440","23","35","32","23","31","25","22","18","24","13","18","19","22","21","23","20","15","15"
"1796","Urbanización San Joaquin","Comuna 17","411","22","33","24","42","26","25","20","25","19","21","17","21","19","18","14","15","11","9"
"1994","Pampa Linda","Comuna 19","396","34","34","20","24","20","18","13","19","17","18","16","17","17","12","17","15","22","13"
"1791","Unicentro Cali","Comuna 17","393","29","26","37","21","22","22","16","29","17","12","26","10","17","16","25","17","10","15"
"0215","El Bosque","Comuna 02","358","29","20","17","26","20","22","15","20","12","17","12","20","13","19","23","18","16","12"
"1981","Sector Altos de Santa Isabel","Comuna 19","348","16","21","15","12","13","9","19","17","15","16","17","22","25","22","30","28","23","19"
"1785","Los Portales - Nuevo Rey","Comuna 17","335","26","20","22","12","18","17","16","29","16","16","21","12","12","17","13","14","17","8"
"1909","Bellavista","Comuna 19","330","9","15","14","12","19","12","20","11","17","18","20","24","14","16","26","23","23","24"
"1919","Cuarto de Legua - Guadalupe","Comuna 19","330","21","23","21","20","21","24","10","16","13","12","14","20","15","10","20","21","4","11"
"0199","Aguacatal","Comuna 01","324","21","14","21","16","16","20","23","14","20","17","11","17","14","23","17","22","15","7"
"2298","Ciudad Campestre","Comuna 22","268","25","21","16","15","15","15","19","15","14","12","16","7","11","13","10","12","3","8"
"1794","Prados del Limonar","Comuna 17","262","13","19","9","17","18","14","17","21","13","9","13","19","9","12","10","11","9","13"
"0210","Santa Mónica","Comuna 02","248","21","11","14","21","7","19","8","14","12","11","11","11","14","14","10","6","15","10"
"0218","Chipichape","Comuna 02","246","21","23","10","16","7","17","14","18","15","9","12","16","14","10","9","9","4","6"
"0202","Santa Teresita","Comuna 02","244","21","19","12","12","10","10","15","14","11","10","12","14","7","11","12","16","10","12"
"1923","Camino Real - Los Fundadores","Comuna 19","243","19","23","17","19","15","15","12","14","11","6","19","9","11","7","7","13","9","4"
"1789","El Gran Limonar - Cataya","Comuna 17","240","15","14","21","17","5","10","17","15","12","8","14","12","10","13","8","8","9","11"
"1988","Cañaveralejo - Seguros Patria","Comuna 19","215","12","16","8","16","11","12","12","11","10","15","4","14","12","12","7","12","7","6"
"0205","Juanambú","Comuna 02","205","13","15","14","11","13","9","15","14","6","8","10","6","9","9","9","7","15","7"
"1983","Tejares - Cristales","Comuna 19","204","18","15","9","15","12","11","13","9","9","9","9","10","5","9","9","14","9","12"
"1910","San Fernando Viejo","Comuna 19","202","11","11","13","13","10","17","8","3","9","13","8","14","7","13","9","8","12","6"
"0297","Alto Normandia","Comuna 02","185","3","9","8","10","5","6","7","9","7","11","9","8","12","15","11","16","20","13"
"1790","El Gran Limonar","Comuna 17","179","10","12","6","8","13","4","13","9","9","4","7","5","9","8","10","8","15","10"
"1793","Ciudadela Pasoancho","Comuna 17","162","16","8","8","8","8","7","9","9","12","6","8","7","5","13","9","8","6","5"
"1903","El Lido","Comuna 19","154","16","10","16","10","12","9","7","5","5","2","8","8","2","3","9","6","4","7"
"1902","La Cascada","Comuna 19","151","6","13","11","6","11","11","10","5","10","4","7","7","7","8","4","5","5","3"
"1922","Camino Real - Joaquin Borrero Sinisterra","Comuna 19","129","9","9","10","3","13","7","4","7","5","7","10","7","5","4","4","2","6","7"
"0201","Santa Rita","Comuna 02","124","6","10","12","7","9","10","9","5","10","3","5","4","4","5","5","3","5","8"
"0206","Centenario","Comuna 02","115","7","10","6","12","5","6","7","6","7","8","4","2","4","5","1","7","6","5"
"1907","Urbanización Nueva Granada","Comuna 19","108","5","7","8","4","9","3","6","3","3","5","3","10","4","7","4","6","6","6"
"1906","San Fernando Nuevo","Comuna 19","104","6","10","5","8","7","4","7","5","4","4","6","2","5","4","6","4","4","3"
"0207","Granada","Comuna 02","99","8","2","6","5","4","5","6","10","3","5","7","4","5","5","2","5","7","1"
"1904","Urbanización Tequendama","Comuna 19","97","6","4","9","5","9","6","6","11","5","5","3","2","0","5","4","4","4","3"
"0209","San Vicente","Comuna 02","86","2","5","7","6","5","7","6","2","5","10","2","5","4","1","8","2","3","2"
"1985","Unidad Residencial El Coliseo","Comuna 19","84","0","8","2","6","2","3","7","6","3","5","2","5","5","3","4","2","8","1"
"1916","Los Cámbulos","Comuna 19","83","2","1","5","9","4","3","4","6","0","5","4","5","4","5","7","4","4","5"
"1901","El Refugio","Comuna 19","81","6","4","4","2","3","6","5","4","6","3","5","3","3","6","3","3","3","3"
"1788","Bosques del Limonar","Comuna 17","75","4","4","4","4","10","2","0","5","4","4","3","6","2","0","3","4","5","5"
"0302","El Peñón","Comuna 03","71","7","8","4","3","5","0","2","5","2","4","1","2","1","3","3","6","4","6"
"0216","Menga","Comuna 02","64","2","1","8","3","4","3","3","2","2","5","5","3","2","3","2","5","3","6"
"0208","Versalles","Comuna 02","61","3","5","6","2","5","2","2","6","2","0","3","4","4","3","3","1","2","3"
"0101","Terron Colorado","Comuna 01","56","3","2","3","0","0","1","5","1","1","6","6","2","4","3","2","3","5","4"
"0294","Vipasa","Comuna 02","54","2","4","2","4","2","6","4","2","2","2","5","5","2","4","3","2","2","1"
"1992","Cañaveral","Comuna 19","52","2","3","2","2","3","2","1","3","5","2","3","0","1","1","2","6","5","4"
"1984","Unidad Residencial Santiago de Cali","Comuna 19","51","3","4","2","2","5","2","1","4","1","2","1","2","2","3","4","1","3","2"
"1982","Santa Bárbara","Comuna 19","42","5","3","5","2","2","2","2","1","3","1","4","1","2","1","3","1","1","1"
"1905","Eucaristico","Comuna 19","32","2","3","1","4","3","1","1","1","3","1","1","0","1","4","2","1","0","0"
"1918","Urbanización Militar","Comuna 19","30","1","4","1","2","0","2","4","2","1","5","2","2","0","1","1","1","0","0"
"1787","El Limonar","Comuna 17","27","1","1","3","1","1","3","0","0","3","3","2","0","1","0","3","2","0","0"
"2299","Club Campestre","Comuna 22","24","2","0","1","2","1","2","1","3","1","2","0","2","0","4","0","1","0","0"
"1912","3 de Julio","Comuna 19","16","0","0","2","0","0","1","0","0","1","3","1","1","2","1","0","1","2","0"
"1911","Miraflores","Comuna 19","15","2","1","1","1","0","2","2","0","1","1","1","0","0","0","0","1","0","0"
"0213","La Campiña","Comuna 02","14","0","1","0","0","2","1","1","1","0","0","2","0","0","1","0","0","2","1"
"0503","Los Guayacanes","Comuna 05","12","1","2","0","1","1","1","0","1","1","0","0","1","0","1","2","0","0","0"
"0599","Villa del Prado - El Guabito","Comuna 05","12","3","0","0","0","0","0","0","1","1","0","1","0","0","0","1","2","2","1"
"1703","Ciudadela Comfandi","Comuna 17","11","0","0","0","0","0","1","0","0","0","3","1","3","0","1","0","0","1","1"
"1917","El Mortiñal","Comuna 19","8","1","0","0","1","0","1","0","0","0","2","0","0","1","0","0","1","0","0"
"0293","Urbanización La Merced","Comuna 02","7","0","0","1","2","0","0","0","1","0","1","0","1","0","0","1","0","0","0"
"0217","Ciudad de Los Alamos","Comuna 02","7","0","1","0","0","0","2","0","0","0","1","0","1","0","1","0","0","0","0"
"0309","San Pascual","Comuna 03","7","0","1","0","1","0","0","0","0","1","0","2","0","0","0","1","1","0","0"
"0598","Torres de Comfandi","Comuna 05","7","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0"
"0308","La Merced","Comuna 03","6","0","1","1","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0"
"1702","Primero de Mayo","Comuna 17","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","1"
"0594","Los Parques Barranquilla","Comuna 05","5","0","0","0","0","0","1","0","0","0","0","1","0","2","0","0","0","0","0"
"0304","San Cayetano","Comuna 03","5","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0"
"0596","Paseo de Los Almendros","Comuna 05","5","0","0","0","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0"
"1913","El Cedro","Comuna 19","5","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0"
"0501","El Sena","Comuna 05","5","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"0506","Metropolitano del Norte","Comuna 05","5","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"1915","Urbanización Colseguros","Comuna 19","5","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"0102","Vista Hermosa","Comuna 01","4","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0"
"0219","Brisas de Los Alamos","Comuna 02","4","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0"
"0315","Navarro - La Chanca","Comuna 03","4","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0"
"0296","Altos de Menga","Comuna 02","4","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0"
"0311","San Pedro","Comuna 03","4","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"1786","Cañaverales - Los Samanes","Comuna 17","4","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"0597","Los Andes B - La Riviera","Comuna 05","3","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"0310","El Calvario","Comuna 03","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"0502","Los Andes","Comuna 05","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"0214","La Paz","Comuna 02","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"0504","Chiminangos II","Comuna 05","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0303","San Antonio","Comuna 03","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0196","Sector Patio Bonito","Comuna 01","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0305","Los Libertadores","Comuna 03","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1701","La Playa","Comuna 17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0306","San Juan Bosco","Comuna 03","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"0312","San Nicolás","Comuna 03","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0314","El Piloto","Comuna 03","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1914","Champagnat","Comuna 19","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
